Start time,Transit direction,Voyage time [min.],Transit time [min.],Harbour time [min.],Manoeuvre time [min.],Passage time [min.],Min generators running,Max generators running,Total fuel [liters],Total energy [kWh],Total thruster energy [kWh],Residual energy [kWh],Max speed [knots],Mean speed passage [knots],Median wind speed [knots],Wind direction dominant [degrees],Max. current magnitude [knots],Current direction dominant [degrees],Min UKC passage [meters],Avg. route deviation [meters],Harbour fuel [liters],Manoeuvre fuel [liters],Passage fuel [liters]
2019-03-25 20:14:30,Sp-Tå,60,52,8,12,41,2,2,234.73,923.29,714.36,208.93,10.9,10.48,8.79,West,0.67,North,1.9,189.09,10.75,28.93,195.06
2019-03-25 04:14:00,Sp-Tå,60,50,11,12,38,1,2,255.71,995.66,787.95,207.71,12.0,11.17,20.2,West,0.48,South,2.0,360.89,9.24,35.19,211.28
2019-03-25 19:14:30,Tå-Sp,60,47,1,11,39,1,2,256.18,1010.28,788.17,222.11,12.4,11.04,7.48,West,0.44,North,2.2,100.93,1.44,36.88,208.47
2019-03-25 06:14:00,Sp-Tå,60,50,1,13,39,1,2,260.54,1005.21,795.25,209.96,11.9,11.07,15.65,West,0.33,South,1.9,373.42,0.71,32.15,220.07
2019-03-25 21:14:30,Tå-Sp,65,50,15,11,39,0,2,265.83,1047.02,831.65,215.36,12.1,10.95,12.51,West,1.17,North,2.55,60.2,5.17,41.69,218.97
2019-03-25 16:15:00,Sp-Tå,59,48,11,11,38,1,2,265.91,1037.42,817.29,220.14,12.4,11.44,14.35,North,0.86,South,2.2,316.5,9.54,31.63,224.74
2019-03-25 18:14:30,Sp-Tå,60,49,11,11,38,1,2,266.08,1042.25,815.17,227.08,12.1,11.24,7.86,North,0.42,South,2.3,242.48,9.52,29.32,227.24
2019-03-25 12:16:30,Sp-Tå,59,49,10,11,38,1,2,268.88,1050.51,830.16,220.35,12.1,11.38,18.04,North,0.61,South,2.3,302.12,9.44,39.33,220.11
2019-03-25 17:14:00,Tå-Sp,61,51,10,11,40,1,2,272.25,1070.51,839.76,230.75,11.9,10.7,9.21,North,0.59,South,2.6,66.11,8.62,42.44,221.19
2019-03-25 14:14:30,Sp-Tå,62,49,13,11,38,1,2,275.92,1073.48,848.14,225.34,12.1,11.44,19.31,North,0.87,South,2.3,545.29,12.04,33.55,230.34
2019-03-25 09:15:30,Tå-Sp,66,56,11,12,44,1,3,277.39,1045.7,825.07,220.63,11.7,9.6,15.38,North,0.69,North,2.1,83.56,14.14,34.95,228.29
2019-03-25 08:14:00,Sp-Tå,62,50,12,13,37,2,2,278.64,1055.26,839.12,216.14,12.3,11.45,15.57,North,0.49,North,2.1,248.99,15.39,39.36,223.89
2019-03-25 07:14:00,Tå-Sp,60,49,11,11,39,1,3,290.86,1137.16,910.69,226.47,13.0,11.06,15.56,West,0.31,North,2.0,87.03,10.24,34.46,246.15
2019-03-25 15:16:00,Tå-Sp,59,51,9,11,40,2,3,294.18,1147.53,913.04,234.49,12.0,10.44,18.58,North,0.92,South,3.1,115.73,12.22,39.1,242.86
2019-03-25 05:14:00,Tå-Sp,60,53,8,12,41,2,3,303.71,1167.59,936.62,230.96,12.8,10.51,18.18,West,0.4,South,2.1,91.4,9.55,37.77,256.39
2019-03-25 13:15:00,Tå-Sp,60,49,11,11,38,1,3,338.55,1320.58,1066.94,253.64,12.7,11.1,20.58,North,0.67,South,3.4,99.0,12.73,43.53,282.29
